Firm,Industry,Sector,Collector ,Privacy policy exists,Existence of a transparency report,Contact option,Legislation complied with,Third party sharing,Existence of a Data Protection Officer,ISO type,Comment,Privacy Policy URL,Privacy Policy URL corrected
Facebook,Interactive Media and Services,Technology,Valentina ,1,1,1,Standard,1,1,0,"Facebook Workplace does have ISO 27001, for Facebook itself not found // Can only access european policy (VPN)",https://www.facebook.com/privacy/explanation,
HP,Computers,Technology,Valentina ,1,0,1,gdpr,1,1,1,,https://www8.hp.com/us/en/privacy/privacy.html,
Cisco Systems,Network and Other Communications Equipment,Technology,Valentina ,1,1,1,standard ,1,1,1,,https://www.cisco.com/c/en/us/about/legal/privacy-full.html,
Oracle,Computer Software,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.oracle.com/legal/privacy/privacy-policy.html,
Hewlett Packard Enterprise,Computers,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.hpe.com/us/en/legal/privacy.html,
Thermo Fisher Scientific,Medical Products and Equipment,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.thermofisher.com/us/en/home/global/privacy-policy.html,
Jabil,Semiconductors and Other Electronic Components,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.jabil.com/about-us/the-jabil-code/privacy.html,
Qualcomm,Semiconductors,Technology,Valentina ,1,0,1,standard ,1,1,0,,https://www.qualcomm.com/site/privacy,
Micron Technology,Semiconductors and Other Electronic Components,Technology,Valentina ,1,0,1,standard,1,1,0,,https://www.micron.com/privacy,
Broadcom,Semiconductors and Other Electronic Components,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.broadcom.com/company/legal/privacy/policy,
DXC Technology,Information Technology Services,Technology,Valentina ,1,0,1,standard ,1,1,0,,https://www.dxc.technology/privacy,
CDW,Information Technology Services,Technology,Valentina ,1,,1,Standard,1,0,1,,https://www.cdw.com/content/cdw/en/terms-conditions/privacy-notice.html,
Salesforce,Computer Software,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.salesforce.com/company/privacy/,
Cognizant Technology Solutions,Information Technology Services,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.cognizant.com/privacy-notice,
Western Digital,Computers,Technology,Valentina ,1,0,1,standard,1,1,0,,https://www.westerndigital.com/legal/privacy-statement,
Booking Holdings,Internet Services and Retailing,Technology,Valentina ,1,0,1,standard,1,1,0,,https://www.bookingholdings.com/privacy-policy/,
Applied Materials,Semiconductors,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.appliedmaterials.com/privacy,
Texas Instruments,Semiconductors,Technology,Valentina ,1,0,1,standard,1,1,0,,https://www.ti.com/legal/terms-conditions/privacy-policy/north-america.html,
Uber Technologies,Internet Services and Retailing,Technology,Valentina ,1,1,0,standard,1,1,1,,https://www.uber.com/legal/en/document/?uclick_id=0d72a24e-9000-489e-8943-b8d7007c9a7e&country=united-states&lang=en&name=privacy-notice,
Adobe,Computer Software,Technology,Valentina ,1,1,1,gdpr,1,1,1,,https://www.adobe.com/privacy/policy.html,
Leidos Holdings,Information Technology Services,Technology,Valentina ,1,0,1,standard,1,1,1,,https://www.leidos.com/privacy,
Nvidia,Semiconductors,Technology,Valentina ,1,0,1,ccpa ,1,1,0,,https://www.nvidia.com/en-us/about-nvidia/privacy-policy/,
eBay,Internet Services and Retailing,Technology,Valentina ,1,0,1,gdpr ,1,1,0,,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260,
AT&T,Telecommunications,Telecommunications,Valentina ,1,1,1,standard,1,1,1,sell data ,https://about.att.com/csr/home/privacy/full_privacy_policy.html,
Verizon Communications,Telecommunications,Telecommunications,Valentina ,1,1,1,standard,1,1,1,,https://www.verizon.com/about/privacy/,
Comcast,Entertainment,Telecommunications,Valentina ,1,1,1,standard,1,1,0,,https://www.xfinity.com/privacy/policy,
Charter Communications,Telecommunications,Telecommunications,Valentina ,1,0,0,Standard,1,1,0,no access,https://policy.charter.com/,https://www.spectrum.com/policies/privacy-policy
Lumen Technologies,Telecommunications,Telecommunications,Valentina ,1,0,1,standard,1,1,1,,https://www.lumen.com/en-us/about/legal/privacy-notice.html,
DISH Network,Telecommunications,Telecommunications,Valentina ,1,0,0,Standard,1,1,0,no access,https://my.dish.com/privacy-policy,
UPS,Delivery,Transportation,Valentina ,1,0,1,standard,1,1,0,sells data (look for sales in sharing/disclosure of data),https://www.ups.com/us/en/help-center/legal-terms-conditions/privacy-notice.page,
FedEx,Delivery,Transportation,Valentina ,1,0,1,standard,1,1,0,,https://www.fedex.com/en-us/trust-center/privacy.html,
Delta Air Lines,Airlines,Transportation,Valentina ,1,0,1,standard,1,1,0,,https://www.delta.com/us/en/legal/privacy-and-security,
American Airlines Group,Airlines,Transportation,Valentina ,1,0,1,ccpa,1,1,0,,https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp,
United Airlines Holdings,Airlines,Transportation,Valentina ,1,0,1,ccpa,1,1,0,,https://www.united.com/ual/en/us/fly/privacy.html,
Southwest Airlines,Airlines,Transportation,Valentina ,1,0,1,ccpa,1,1,0,,https://www.southwest.com/html/about-southwest/terms-and-conditions/privacy-policy-pol.html,
Union Pacific,"Trucking, Transportation, Logistics",Transportation,Valentina ,1,0,1,standard,1,1,0,,https://www.up.com/aboutup/corporate_info/privacy/index.htm,
XPO Logistics,"Trucking, Transportation, Logistics",Transportation,Valentina ,1,0,0,standard,1,1,1,they do not sell information of california residents. others they do HAHA ,https://www.xpo.com/privacy-policy/,
C.H. Robinson Worldwide,"Trucking, Transportation, Logistics",Transportation,Valentina ,1,0,1,standard,1,1,0,,https://www.chrobinson.com/en-us/privacy-notice/,
CSX,Railroads,Transportation,Valentina ,1,0,0,standard ,1,1,0,,https://www.csx.com/index.cfm/about-the-site/privacy/,
Norfolk Southern,Railroads,Transportation,Valentina ,1,0,0,standard,1,1,0,,http://www.norfolksouthern.com/content/nscorp/en/privacy.html,
